,animal_id,animal_type,outcome_type
51701,A718413,Cat,Transfer
51702,A704181,Dog,Adoption
51703,A751830,Cat,Adoption
51704,A759918,Cat,Adoption
51705,A722730,Cat,Transfer
51706,A715355,Cat,Transfer
51707,A726236,Dog,Adoption
51708,A710246,Cat,Adoption
51709,A701581,Cat,Transfer
51710,A723340,Dog,Adoption
51711,A730338,Cat,Adoption
51712,A732707,Dog,Adoption
