,Animal ID,Type,Outcome Type
8827,A334829,Cat,Transfer
8828,A332192,Dog,Return To Owner
8829,A366641,Dog,Adoption
8830,A387901,Other,Adoption
8831,A322609,Cat,Adoption
8832,A354172,Cat,Euthanize
8833,A284403,Dog,Return To Owner
8834,A305195,Cat,Transfer
8835,A323014,Cat,Adoption
8836,A293872,Dog,Return To Owner
8837,A354244,Other,Adoption
8838,A339385,Cat,Return To Owner
8839,A382279,Dog,Return To Owner
8840,A304590,Dog,Return To Owner
8841,A277510,Dog,Return To Owner
8842,A375548,Cat,Transfer
8843,A348274,Dog,Return To Owner
8844,A390899,Cat,Adoption
8845,A324031,Cat,Euthanize
8846,A354689,Cat,Adoption
8847,A337760,Dog,Euthanize
8848,A313607,Dog,Return To Owner
8849,A316199,Dog,Transfer
8850,A350887,Dog,Return To Owner
8851,A366489,Other,Transfer
8852,A371288,Dog,Euthanize
8853,A353465,Dog,Return To Owner
8854,A309775,Dog,Return To Owner
8855,A333938,Cat,Euthanize
8856,A352614,Cat,Adoption
8857,A347284,Cat,Return To Owner
8858,A362393,Dog,Euthanize
8859,A313972,Other,Died
8860,A345843,Dog,Return To Owner
8861,A325164,Dog,Return To Owner
8862,A317935,Dog,Adoption
8863,A353244,Dog,Return To Owner
8864,A390087,Dog,Return To Owner
8865,A323842,Cat,Euthanize
8866,A327023,Cat,Return To Owner
8867,A312611,Cat,Adoption
8868,A353283,Cat,Transfer
8869,A338502,Cat,Euthanize
8870,A357042,Dog,Died
8871,A363799,Cat,Euthanize
8872,A375895,Cat,Transfer
8873,A337539,Cat,Euthanize
8874,A304873,Cat,Adoption
8875,A313746,Cat,Transfer
8876,A219311,Cat,Euthanize
8877,A316849,Other,Died
8878,A344118,Dog,Return To Owner
8879,A334990,Cat,Euthanize
8880,A362583,Dog,Adoption
8881,A314703,Dog,Return To Owner
8882,A375980,Dog,Return To Owner
8883,A378305,Cat,Transfer
8884,A365248,Cat,Transfer
8885,A326978,Dog,Adoption
8886,A340235,Cat,Euthanize
