,city,country,id,latitude,longitude,name,state,zip
8531,Rhinelander,US,WI186,45.6531,-89.4095,Oneida County Humane Society Adoption Center,WI,54501
8532,Indianapolis,US,IN471,39.7424,-86.1141,IndyVet,IN,46203
8533,Muncie,US,IN380,40.1933,-85.3864,Action For Animals,IN,47308
8534,Rochester,US,MN245,44.0217,-92.4697,Camp Companion,MN,55903
8535,Indianapolis,US,IN548,39.7937,-85.9859,"Blaze & Saddles Springer Rescue of Indiana, Inc",IN,46229
8536,Fowlerville,US,MI1030,42.653,-84.0721,Loving Eyes Trusting Souls-L.E.T.S. Rescue,MI,48836
8537,Oskaloosa,US,IA25,41.2983,-92.6445,Stephen Memorial Animal Shelter,IA,52577
8538,Marshalltown,US,IA160,42.0297,-92.9165,Animal Rescue League,IA,50158
8539,Marshalltown,US,IA237,42.0297,-92.9165,Rescue Inn,IA,50158
8540,DUMONT,US,IA188,42.7509,-92.9745,WIRE FOX TERRIER RESCUE MIDWEST,IA,50625
8541,Rochester,US,MN99,44.0434,-92.4839,Small Dog Rescue of MN,MN,55901
8542,Quincy,US,IN590,39.4557,-86.7122,"Indiana GSD & Siberian Husky Rescue, Inc",IN,47456
8543,Durand,US,WI09,44.624,-91.958,Pepin County Humane Society,WI,54736
8544,Mooresville,US,IN586,39.575,-86.3784,Hope Haven Canine Rescue Inc,IN,46158
8545,Mooresville,US,IN694,39.575,-86.3784,The Four Legged Ranch,IN,46158
8546,Indianapolis,US,IN209,39.664,-86.175,Central Indiana Lab Rescue and Adoption,IN,46217
8547,Indianapolis,US,IN440,39.664,-86.175,IndyCLAW Rescue,IN,46217
8548,Defiance,US,OH370,41.2852,-84.3628,Fort Defiance Humane Society,OH,43512
8549,Indianapolis,US,IN240,39.677,-86.13,Casa Del Toro Pit Bull  Rescue,IN,46227
8550,Midland,US,MI51,43.6296,-84.2688,SOS Animal Rescue,MI,48640
8551,Quincy,US,IL05,39.9288,-91.3734,Quincy Humane Society,IL,62301
8552,Indianapolis,US,IN550,39.7206,-86.0109,Five Points Ferret Refuge,IN,46239
8553,Midland,US,MI658,43.6156,-84.2472,Humane Society of Midland County,MI,48641
8554,Midland,US,MI871,43.6156,-84.2472,Great Lakes Bay Animal Society,MI,48641
8555,Midland,US,MI977,43.6156,-84.2472,SMART Paws,MI,48641
8556,Portland,US,IN139,40.4282,-84.9951,Jay County Humane Society,IN,47371
